id,name,type,region_label,country,city,priority,strategic_tier,status_legacy,local_priority,focus_areas,programs,website,phone,last_contacted,days_dormant,final_action,notes,contact_1_name,contact_1_role,contact_1_email,contact_2_name,contact_2_role,contact_2_email,contact_3_name,contact_3_role,contact_3_email
e0001,American College of Greece,university,Europe,"Athens, Greece",,Cold-storage,,No answer,,,Synergies,,,,,,,,,,,,,,,
e0002,VIVES University,university,Europe,Belgium,,Cold-storage,,No answer,,,"- Synergies
- Summer Schools",,,31 March 2025,,,,,,,,,,,,
e0003,American University in Bulgaria (eng),university,Europe,Bulgaria,,Cold-storage,,No answer,,,Synergies,,,,,,,,,,,,,,,
e0004,Eastern Mediterranean University,university,Europe,Cyprus,,Cold-storage,,No answer,,,"- Synergies
- Summer Schools",,,31 March 2025,,,,,,,,,,,,
e0005,Copenhagen Business School (eng),university,Europe,Denmark,,,,,,,,,,29 January 2025,,,,,International office general inquiries,rec.intoff@cbs.dk,,,,,,
e0006,Aarhus University School of Business and Social Sciences (eng),university,Europe,Denmark,,,,,,,,,,,,,,,,,,,,,,
e0007,Royal Danish Academy of Fine Arts (eng),university,Europe,Denmark,,,,,,,,,,,,,,,,,,,,,,
e0008,Hanken School of Economics (eng),university,Europe,Finland,,,,,,,,,,,,,,,International activities,international@hanken.fi,,,,,,
e0009,Aalto University (eng),university,Europe,Finland,,,,,,,,,,,,,,Kristiina Mäkelä,Provost,provost@aalto.fi,,,,,,
e0010,Tampere University (eng),university,Europe,Finland,,,,,,,,,,,,,,Ms. Johanna Hellman,Vice Presidentfor Stakeholder Relations and Partnerships' ASSISTANT,johanna.hellman@tuni.fi,,,,,,
e0011,University of Oulu (eng),university,Europe,Finland,,,,,,,,,,,,,,International affaires,International affaires,international.affairs@oulu.fi,,,,,,
e0012,LUT University (eng),university,Europe,Finland,,,,,,,,,,,,,,,,,,,,,,
e0013,Oulu University,university,Europe,Finland,,Not interested,,Not interested,,,"- Synergies
- Summer Schools",,,20 March 2025,,Not interested atm,,,,,,,,,,
e0014,University of Iceland (eng),university,Europe,Iceland,,,,,,,,,,,,,,,,,,,,,,
e0015,Reykjavik University (eng),university,Europe,Iceland,,,,,,,,,,,,,,Ms. Guðlaug Jakobsdóttir,Director of the International Office,gudlaugm@ru.is,,,,,,
e0016,Hult International Business School,university,Europe,"London, UK",,Cold-storage,,No answer,,,Synergies,,,,,,,,,,,,,,,
e0017,Franklin University Switzerland (eng),university,Europe,"Lugano, Switzerland",,Cold-storage,,No answer,,,Synergies,,,,,,,,(Swiss) Main Admissions Office,info@fus.edu,,,,,,
e0018,Saint Louis University Madrid Campus,university,Europe,"Madrid, Spain",,Cold-storage,,No answer,,,Synergies,,,,,,,,,admissions-madrid@slu.edu,,,,,,
e0019,Schiller International University,university,Europe,"Madrid, Spain + Paris France",,Cold-storage,,No answer,,,Synergies,,,,,,,,,admissions@schiller.edu,,,,,,
e0020,Les Roches Global Hospitality Education,university,Europe,"Marbella, Spain",,Cold-storage,,No answer,,,Synergies,,,,,,,,,,,,,,,
e0021,Glion Institute of Higher Education,university,Europe,"Montreux, Switzerland",,Cold-storage,,No answer,,,Synergies,,,,,,,,,,,,,,,
e0022,NHH - Norwegian School of Economics (eng),university,Europe,Norway,,,,,,,,,,,,,,Astrid Foldal,International Relations Head of Section,Astrid.Foldal@nhh.no,,,,,,
e0023,Nord University (eng),university,Europe,Norway,,,,,,,,,,,,,,,,,,,,,,
e0024,BI Norwegian Business School (eng),university,Europe,Norway,,,,,,,,,,,,,,,International Office,international.office@bi.no,,,,,,
e0025,Oslo National Academy of the Arts,university,Europe,Norway,,,,,,,,,,,,,,Ms. Heidi Marian Haraldsen,Acting Pro-Rector for Education,heidhara@khio.no,,,,,,
e0026,The American University of Paris (eng),university,Europe,"Paris, France",,Cold-storage,,No answer,,,Synergies,,,,,,,,,admissions@aup.edu,,,,,,
